token_	Corpus	Observations	p_value	Obs/Exp
shew	late	52	0.0330690995086	1.52941176471
cleveland	early	27	0.0118492426444	2.25
home	late	354	0.0335679219206	1.1568627451
equally	early	79	0.018504422419	1.46296296296
he	late	4329	0.00486302548362	1.05791788856
middletons	early	33	0.00663993218397	2.2
captain	late	310	5.87125225149e-08	1.62303664921
whose	early	136	0.0360949613507	1.27102803738
civility	early	67	0.0105377290573	1.59523809524
room	early	302	0.0255432755157	1.18431372549
allens	early	33	0.00663993218397	2.2
better	late	410	0.0253566089615	1.15492957746
lucy	early	160	2.27570770514e-09	2.25352112676
surprise	early	99	0.0154627751718	1.41428571429
street	early	108	0.00444548769279	1.5
maria	late	108	0.00710239850613	1.45945945946
bad	late	137	0.00531060263686	1.41237113402
decided	late	76	0.0488924051299	1.35714285714
said	early	978	0.0415963313209	1.08425720621
entered	early	107	0.00856204767218	1.44594594595
generals	early	24	0.0204770534237	2.18181818182
unfortunate	early	32	0.0459507946195	1.68421052632
deal	late	213	0.0138170367472	1.26035502959
partiality	early	29	0.0362221147793	1.8125
elizabeth	early	597	3.03204990008e-23	1.9702970297
thing	late	501	0.0118392089422	1.16241299304
think	late	884	0.0287060343202	1.09813664596
little	late	847	0.00112101866949	1.16827586207
anyone	early	30	0.0113121147891	2.14285714286
show	early	24	0.0326188968481	2.0
declared	early	53	0.0106873409687	1.70967741935
mary	late	189	0.000362573279782	1.4765625
those	late	269	0.0443609906056	1.16956521739
money	early	70	0.0263632470435	1.45833333333
tilneys	early	45	0.00131253794651	2.25
thorpe	early	126	1.12398952134e-07	2.25
jennings	early	199	2.40677512276e-11	2.26136363636
affection	early	161	0.00842258759827	1.34166666667
hunsford	early	25	0.0144061316928	2.27272727273
general	early	236	0.00345776467164	1.31111111111
mothers	early	86	0.00732278330656	1.53571428571
town	early	160	0.000436613976818	1.52380952381
kitty	early	69	0.000147819323814	2.15625
wishes	early	83	0.0327003289798	1.38333333333
good	late	764	0.0116621985283	1.12850812408
easily	early	68	0.0308425953369	1.44680851064
eleanor	early	68	7.79899808422e-05	2.26666666667
idea	late	206	0.0354347587268	1.21176470588
beginning	late	110	0.0175452464819	1.375
done	late	366	0.0330327635777	1.15457413249
pemberley	early	53	0.000382018779278	2.30434782609
extremely	late	94	0.0245749446084	1.38235294118
thomas	late	288	2.89623206691e-09	1.75609756098
fullerton	early	28	0.00829282822463	2.33333333333
astonishment	early	60	0.0124898820036	1.62162162162
discourse	early	31	0.0297269222267	1.82352941176
collinss	early	24	0.0204770534237	2.18181818182
clay	late	57	0.00527132984008	1.78125
wickham	early	162	1.16810114705e-09	2.28169014085
delaford	early	30	0.00685752739731	2.30769230769
lydia	early	132	4.08779946493e-08	2.27586206897
aunt	late	180	0.0382865334867	1.22448979592
fitzwilliam	early	32	0.00567434159191	2.28571428571
body	late	178	0.00364723885901	1.36923076923
woodston	early	21	0.0213845589862	2.33333333333
netherfield	early	73	3.89902470513e-05	2.28125
wholly	early	46	0.0423137955002	1.53333333333
frank	late	204	6.85392992363e-07	1.74358974359
nobody	late	143	0.0111566691313	1.34905660377
have	late	3112	0.0132234848634	1.05886355903
dashwoods	early	57	0.000267144120376	2.28
sisters	early	235	3.77494282904e-05	1.50641025641
like	late	464	0.012181388422	1.16876574307
annes	late	50	0.0119064879049	1.72413793103
charles	late	169	1.53634786772e-05	1.69
meryton	early	57	0.000267144120376	2.28
pride	early	69	0.0492461170597	1.38
harriet	late	415	5.631920013e-13	1.7735042735
would	late	1949	0.0131080111894	1.07560706402
must	late	1304	0.00269993071627	1.11931330472
me	early	1108	0.0252413562962	1.08947885939
my	early	1693	7.36424574183e-07	1.18890449438
estate	early	43	0.0479525843425	1.53571428571
harley	early	16	0.0465668907628	2.28571428571
bingley	early	257	2.48863670071e-14	2.27433628319
hertfordshire	early	41	0.00189605838926	2.27777777778
bennet	early	294	5.28520478622e-16	2.26153846154
wanted	late	164	0.0356696787372	1.24242424242
northanger	early	34	0.00469827765801	2.26666666667
further	early	49	0.00354048624431	1.96
brandon	early	119	2.62968830751e-07	2.24528301887
though	early	562	0.00339951446229	1.18565400844
brandons	early	25	0.0144061316928	2.27272727273
however	early	388	0.00327310707318	1.23174603175
elinor	early	623	4.02500318972e-32	2.26545454545
longbourn	early	88	8.15141152653e-06	2.25641025641
been	late	2013	0.000886640156254	1.1066520066
mother	early	351	4.6590902495e-07	1.51293103448
younger	early	43	0.0479525843425	1.53571428571
brother	early	233	0.00325746069847	1.31638418079
lydias	early	38	0.00322677271433	2.23529411765
state	late	157	0.0177908496729	1.29752066116
and	late	13084	0.000296717910258	1.04321479828
any	late	1246	0.0413174024154	1.07413793103
expectation	early	58	0.0259464630424	1.52631578947
connections	early	25	0.0235123428679	2.08333333333
obliging	late	52	0.0330690995086	1.52941176471
arrival	early	75	0.0200080782167	1.47058823529
myself	early	224	0.0470475497575	1.18518518519
violent	early	31	0.0199893933614	1.9375
hurst	early	32	0.00567434159191	2.28571428571
on	early	1820	0.000161001445075	1.13113735239
or	late	1351	0.0340636413844	1.07478122514
ladies	early	134	0.0299305394665	1.28846153846
there	late	1421	0.00025420091977	1.1450443191
valley	early	16	0.0465668907628	2.28571428571
taylor	late	41	0.0231723611871	1.70833333333
westons	late	59	0.00860157835801	1.68571428571
design	early	35	0.0201075850842	1.84210526316
what	early	1188	0.0219645278008	1.08890925756
behaviour	early	130	0.000140182656274	1.68831168831
palmers	early	22	0.0250483794724	2.2
inquiries	early	39	0.0384556446813	1.625
strange	early	55	0.0378695785176	1.48648648649
expect	early	89	0.013567293784	1.45901639344
feel	late	267	0.0289241547923	1.19196428571
lucys	early	26	0.0100351503167	2.36363636364
kind	early	205	0.016192624168	1.25766871166
added	early	134	0.0405441110181	1.2641509434
eliza	early	30	0.00685752739731	2.30769230769
his	early	2816	0.0080376522401	1.06747536012
allen	early	116	2.65731978869e-07	2.27450980392
thorpes	early	34	0.00469827765801	2.26666666667
affectionate	early	53	0.0346634356674	1.51428571429
daughters	early	98	0.0395664173801	1.32432432432
steeles	early	29	0.00975825719702	2.23076923077
anne	late	448	7.63416612896e-13	1.72307692308
palmer	early	65	0.000130707362745	2.24137931034
fanny	late	820	2.73215902551e-21	1.70124481328
ladyship	early	38	0.0259414604843	1.72727272727
from	early	1326	0.0341924461688	1.07542579075
sort	late	232	0.000301681003113	1.42331288344
catherines	early	75	3.27061879733e-05	2.27272727273
sir	late	588	1.01810921425e-05	1.30666666667
tom	late	80	0.00111237344317	1.77777777778
darcy	early	374	5.47325243052e-20	2.26666666667
their	early	1177	1.4054314658e-06	1.22604166667
sea	late	42	0.017787620025	1.75
which	early	1463	0.0451163763824	1.06632653061
combe	early	16	0.0465668907628	2.28571428571
married	early	122	0.02794620924	1.31182795699
thus	early	65	0.0435308353542	1.41304347826
smith	late	142	0.000295952700772	1.59550561798
smart	early	19	0.0435758263612	2.11111111111
james	early	53	0.0346634356674	1.51428571429
because	early	157	0.0371421480527	1.24603174603
margaret	early	33	0.00663993218397	2.2
harville	late	63	0.0030447853685	1.8
admiral	late	90	0.000456091930108	1.8
bates	late	126	3.84489593457e-05	1.8
coles	late	29	0.0362231690777	1.8125
kellynch	late	73	0.00175119424188	1.78048780488
henrietta	late	66	0.00276645802427	1.78378378378
elton	late	320	1.39125250684e-10	1.78770949721
rushworths	late	39	0.0198047969628	1.77272727273
crawford	late	493	1.55019479608e-15	1.79272727273
connexion	late	46	0.0122272908745	1.76923076923
musgrove	late	111	0.000120311417032	1.79032258065
highbury	late	125	4.98731707632e-05	1.78571428571
norriss	late	24	0.0494320219366	1.84615384615
emma	late	786	1.13838162558e-23	1.79043280182
camden	late	29	0.0362231690777	1.8125
crofts	late	37	0.0239661757492	1.7619047619
elliots	late	41	0.016379446154	1.78260869565
benwick	late	66	0.00276645802427	1.78378378378
churchill	late	193	5.48078187016e-07	1.78703703704
edmunds	late	47	0.00930623402829	1.80769230769
musgroves	late	60	0.00477182938627	1.76470588235
croft	late	45	0.0112285522538	1.8
portsmouth	late	48	0.0101463151408	1.77777777778
campbells	late	34	0.0267155094099	1.78947368421
rushworth	late	185	7.74551653679e-07	1.79611650485
betsey	late	30	0.0394660040945	1.76470588235
wentworth	late	191	6.50670175576e-07	1.78504672897
perry	late	74	0.00134191738761	1.80487804878
surprized	late	32	0.0324501922352	1.77777777778
maple	late	31	0.0297279239728	1.82352941176
emmas	late	79	0.00102172096827	1.79545454545
grant	late	143	1.46833726373e-05	1.7875
harvilles	late	30	0.0394660040945	1.76470588235
bertrams	late	66	0.00276645802427	1.78378378378
lyme	late	67	0.00211505632495	1.81081081081
weston	late	388	1.70254662963e-12	1.78801843318
russells	late	30	0.0394660040945	1.76470588235
norris	late	185	7.74551653679e-07	1.79611650485
randalls	late	91	0.000496913268214	1.78431372549
grants	late	28	0.0480663585992	1.75
wentworths	late	27	0.0442106466234	1.8
woodhouses	late	40	0.0150047985314	1.81818181818
churchills	late	45	0.0112285522538	1.8
edmund	late	365	7.17144705709e-12	1.78921568627
dixon	late	39	0.0198047969628	1.77272727273
eltons	late	89	0.000593389735983	1.78
hartfield	late	159	5.17460472388e-06	1.78651685393
crawfords	late	127	4.18894551154e-05	1.78873239437
yates	late	58	0.0040212216795	1.8125
fairfax	late	210	1.51267842189e-07	1.79487179487
julia	late	121	7.07001676348e-05	1.77941176471
wallis	late	33	0.0244334008382	1.83333333333
campbell	late	48	0.0101463151408	1.77777777778
bertram	late	241	2.50152071264e-08	1.78518518519
hayter	late	37	0.0239661757492	1.7619047619
connexions	late	31	0.0297279239728	1.82352941176
goddards	late	34	0.0267155094099	1.78947368421
sotherton	late	54	0.00581507476229	1.8
uppercross	late	77	0.00122252562397	1.79069767442
elliot	late	254	9.78767379376e-09	1.78873239437
enscombe	late	36	0.0220196268227	1.8
susan	late	65	0.00253732481538	1.80555555556
surprize	late	37	0.0239661757492	1.7619047619
donwell	late	49	0.00771773008896	1.81481481481
shepherd	late	27	0.0442106466234	1.8
fairfaxs	late	31	0.0297279239728	1.82352941176
martin	late	72	0.00160741800849	1.8
russell	late	118	7.74099746842e-05	1.78787878788
mansfield	late	183	9.20057278463e-07	1.79411764706
knightley	late	356	1.29689481148e-11	1.78894472362
woodhouse	late	277	2.29780062313e-09	1.78709677419
harriets	late	91	0.000496913268214	1.78431372549
walter	late	123	5.93798337839e-05	1.78260869565
cole	late	49	0.00771773008896	1.81481481481
knightleys	late	40	0.0150047985314	1.81818181818
